ID,N_claims_history,Claims_history_log,Has_claims_history,Is_frequent_claimant,Claims_per_year,R_Claims_history,Driver_age,Is_high_risk_age,Licence_years,Is_novice,Age_licence_gap,Late_licence,Is_van,Is_passenger_car,Is_motorbike,Value_vehicle,Value_vehicle_log,Is_high_value,Power,Power_log,Is_high_power,Has_second_driver,Is_urban,Composite_risk_score,Seniority,Policy_age_years,Is_broker_urban,Policy_start_quarter,Is_Q4_start,Claims_binary
44,2,1.0986122886681098,1,0,2.0,0.0,55.66598220396988,0,37.223819301848046,0,18.442162902121837,0,0,1,0,69000.0,11.141876276228,1,150,5.017279836814924,1,0,0,0,1,0.23819301848049282,0,4,1,0
45,0,0.0,0,0,0.0,0.0,54.680355920602324,0,35.3264887063655,0,19.35386721423682,0,0,1,0,12600.0,9.441531454869693,0,65,4.189654742026425,0,0,0,0,2,3.805612594113621,0,1,0,0
46,1,0.6931471805599453,1,0,0.3333333333333333,0.0,53.85352498288843,0,11.624914442162902,0,42.228610540725526,1,0,1,0,12040.0,9.39607277189222,0,75,4.330733340286331,0,0,0,0,3,2.5817932922655715,0,2,0,0
46,1,0.6931471805599453,1,0,0.3333333333333333,0.0,53.85352498288843,0,11.624914442162902,0,42.228610540725526,1,0,1,0,12040.0,9.39607277189222,0,75,4.330733340286331,0,0,0,0,3,2.5817932922655715,0,2,0,0
46,1,0.6931471805599453,1,0,0.3333333333333333,0.0,53.85352498288843,0,11.624914442162902,0,42.228610540725526,1,0,1,0,12040.0,9.39607277189222,0,75,4.330733340286331,0,0,0,0,3,2.5817932922655715,0,2,0,0
47,4,1.6094379124341003,1,0,0.3333333333333333,0.36,51.41409993155373,0,33.24845995893224,0,18.16563997262149,0,0,1,0,16167.23,9.690803484613149,0,95,4.564348191467836,0,0,0,0,12,11.641341546885695,0,2,0,1
47,4,1.6094379124341003,1,0,0.3333333333333333,0.36,51.41409993155373,0,33.24845995893224,0,18.16563997262149,0,0,1,0,16167.23,9.690803484613149,0,95,4.564348191467836,0,0,0,0,12,11.641341546885695,0,2,0,1
47,4,1.6094379124341003,1,0,0.3333333333333333,0.36,51.41409993155373,0,33.24845995893224,0,18.16563997262149,0,0,1,0,16167.23,9.690803484613149,0,95,4.564348191467836,0,0,0,0,12,11.641341546885695,0,2,0,0
48,4,1.6094379124341003,1,0,0.3333333333333333,0.0,51.41409993155373,0,33.24845995893224,0,18.16563997262149,0,0,1,0,40220.0,10.60214452626967,1,95,4.564348191467836,0,0,0,0,12,0.8980150581793293,0,1,0,0
50,0,0.0,0,0,0.0,0.0,49.08145106091718,0,30.431211498973305,0,18.650239561943877,0,0,0,1,6599.0,8.794824928014517,0,77,4.356708826689592,0,0,0,0,5,4.427104722792608,0,3,0,0
50,0,0.0,0,0,0.0,0.0,49.08145106091718,0,30.431211498973305,0,18.650239561943877,0,0,0,1,6599.0,8.794824928014517,0,77,4.356708826689592,0,0,0,0,5,4.427104722792608,0,3,0,0
50,0,0.0,0,0,0.0,0.0,49.08145106091718,0,30.431211498973305,0,18.650239561943877,0,0,0,1,6599.0,8.794824928014517,0,77,4.356708826689592,0,0,0,0,5,4.427104722792608,0,3,0,0
51,2,1.0986122886681098,1,0,0.5,0.56,47.8631074606434,0,28.082135523613964,0,19.780971937029435,0,0,1,0,13910.0,9.54043517305957,0,82,4.418840607796598,0,0,1,0,4,3.671457905544148,0,2,0,0
51,2,1.0986122886681098,1,0,0.5,0.56,47.8631074606434,0,28.082135523613964,0,19.780971937029435,0,0,1,0,13910.0,9.54043517305957,0,82,4.418840607796598,0,0,1,0,4,3.671457905544148,0,2,0,1
51,2,1.0986122886681098,1,0,0.5,0.56,47.8631074606434,0,28.082135523613964,0,19.780971937029435,0,0,1,0,13910.0,9.54043517305957,0,82,4.418840607796598,0,0,1,0,4,3.671457905544148,0,2,0,0
52,0,0.0,0,0,0.0,0.0,78.3107460643395,1,59.290896646132786,0,19.01984941820671,0,0,1,0,20878.68,9.946531716208638,0,75,4.330733340286331,0,0,0,1,3,4.1971252566735116,0,4,1,0
53,0,0.0,0,0,0.0,0.0,75.5564681724846,1,51.66872005475702,0,23.887748117727583,0,0,1,0,10515.0,9.260653185849772,0,72,4.290459441148391,0,0,1,1,4,3.5017111567419574,1,3,0,0
53,0,0.0,0,0,0.0,0.0,75.5564681724846,1,51.66872005475702,0,23.887748117727583,0,0,1,0,10515.0,9.260653185849772,0,72,4.290459441148391,0,0,1,1,4,3.5017111567419574,1,3,0,0
53,0,0.0,0,0,0.0,0.0,75.5564681724846,1,51.66872005475702,0,23.887748117727583,0,0,1,0,10515.0,9.260653185849772,0,72,4.290459441148391,0,0,1,1,4,3.5017111567419574,1,3,0,0
54,0,0.0,0,0,0.0,0.0,75.6331279945243,1,55.644079397672826,0,19.989048596851475,0,0,1,0,21090.0,9.956601688185614,0,105,4.663439094112067,0,0,0,1,3,4.388774811772758,0,3,0,0
55,0,0.0,0,0,0.0,0.0,73.95756331279945,1,23.811088295687885,0,50.14647501711157,1,0,1,0,25370.0,10.141362068450333,1,160,5.081404364984463,1,0,0,1,2,1.5331964407939767,0,2,0,0
55,0,0.0,0,0,0.0,0.0,73.95756331279945,1,23.811088295687885,0,50.14647501711157,1,0,1,0,25370.0,10.141362068450333,1,160,5.081404364984463,1,0,0,1,2,1.5331964407939767,0,2,0,0
57,0,0.0,0,0,0.0,0.0,66.28884325804243,0,48.15058179329227,0,18.138261464750165,0,0,1,0,12230.0,9.411728991487363,0,65,4.189654742026425,0,0,1,0,4,3.159479808350445,1,4,1,0
57,0,0.0,0,0,0.0,0.0,66.28884325804243,0,48.15058179329227,0,18.138261464750165,0,0,1,0,12230.0,9.411728991487363,0,65,4.189654742026425,0,0,1,0,4,3.159479808350445,1,4,1,0
