ID,Value_vehicle,Value_vehicle_log,Is_high_value,Power,Power_log,Is_high_power,Cylinder_capacity,Is_van,Is_passenger_car,Is_motorbike,N_claims_history,R_Claims_history,Claims_per_year,Premium,Premium_log,Premium_to_value_ratio,Driver_age,Is_high_risk_age,Licence_years,Is_novice,Has_second_driver,Is_urban,Weight,Year_matriculation,Is_agent_channel,Is_broker_urban,Composite_risk_score,Seniority,Claims_severity
36573,13940.0,9.542589417753089,0,70,4.2626798770413155,0,1198,0,1,0,2,0.61,0.5,214.12,5.371196011960609,0.015359012983286709,46.861054072553046,0,20.1533196440794,0,0,0,992,2012,1,0,0,4,0.0
36573,13940.0,9.542589417753089,0,70,4.2626798770413155,0,1198,0,1,0,2,0.61,0.5,227.09,5.429740287908455,0.016289362312603112,46.861054072553046,0,20.1533196440794,0,0,0,992,2012,1,0,0,4,0.0
36574,8600.0,9.059633754551479,0,65,4.189654742026425,0,1086,0,1,0,1,0.87,0.5,395.5,5.982676041074902,0.04598302522962446,45.38809034907597,0,24.05201916495551,0,0,0,854,2004,1,0,0,2,80.58
36574,8600.0,9.059633754551479,0,65,4.189654742026425,0,1086,0,1,0,1,0.87,0.5,200.06,5.303603370977274,0.023260086036507383,45.38809034907597,0,24.05201916495551,0,0,0,854,2004,1,0,0,2,0.0
36575,26890.0,10.199546937117361,1,65,4.189654742026425,0,1685,0,1,0,1,0.0,0.5,435.99,6.079910311538569,0.01621323119259232,45.38809034907597,0,24.05201916495551,0,0,0,1415,2004,1,0,0,2,0.0
36576,24160.12,10.092500008590164,1,65,4.189654742026425,0,1499,0,1,0,1,0.0,0.5,468.96,6.152647584699372,0.01940969623924719,45.38809034907597,0,24.05201916495551,0,1,0,1660,2004,1,0,0,2,0.0
36577,19690.0,9.88791695754517,0,90,4.51085950651685,0,1997,0,1,0,0,0.0,0.0,231.59,5.449277246898977,0.011761210705398406,45.40177960301163,0,27.307323750855577,0,0,0,1390,2004,1,0,0,2,0.0
36577,19690.0,9.88791695754517,0,90,4.51085950651685,0,1997,0,1,0,0,0.0,0.0,237.38,5.473866039054562,0.01205525366918897,45.40177960301163,0,27.307323750855577,0,0,0,1390,2004,1,0,0,2,0.0
36578,34434.56,10.446845030370161,1,109,4.700480365792417,0,2148,0,1,0,1,0.07,0.06666666666666667,386.2,5.9589413554024215,0.011215150849877278,45.935660506502394,0,19.912388774811774,0,0,0,1965,2004,1,0,0,15,0.0
36578,34434.56,10.446845030370161,1,109,4.700480365792417,0,2148,0,1,0,1,0.07,0.06666666666666667,308.56,5.735151934402259,0.00896050478052339,45.935660506502394,0,19.912388774811774,0,0,0,1965,2004,1,0,0,15,0.0
36578,34434.56,10.446845030370161,1,109,4.700480365792417,0,2148,0,1,0,1,0.07,0.06666666666666667,302.39,5.715019106582188,0.008781329532611057,45.935660506502394,0,19.912388774811774,0,0,0,1965,2004,1,0,0,15,0.0
36579,35000.0,10.463131911491967,1,136,4.919980925828125,1,1968,0,1,0,0,0.0,0.0,263.3,5.577084821610244,0.0075226422102225654,45.40999315537303,0,26.573579739904176,0,0,0,1710,2007,1,0,0,2,0.0
36579,35000.0,10.463131911491967,1,136,4.919980925828125,1,1968,0,1,0,0,0.0,0.0,264.63,5.582104363030933,0.007560641124539299,45.40999315537303,0,26.573579739904176,0,0,0,1710,2007,1,0,0,2,0.0
36580,21130.0,9.958496435566927,0,92,4.532599493153256,0,1560,1,0,0,0,0.0,0.0,358.66,5.885159140737051,0.016973167384411528,45.856262833675565,0,27.419575633127995,0,0,0,1410,2012,1,0,0,9,0.0
36580,21130.0,9.958496435566927,0,92,4.532599493153256,0,1560,1,0,0,0,0.0,0.0,364.05,5.900034330502095,0.01722824286593157,45.856262833675565,0,27.419575633127995,0,0,0,1410,2012,1,0,0,9,0.0
36580,21130.0,9.958496435566927,0,92,4.532599493153256,0,1560,1,0,0,0,0.0,0.0,365.88,5.905034819109594,0.01731484548767214,45.856262833675565,0,27.419575633127995,0,0,0,1410,2012,1,0,0,9,0.0
36581,9818.43,9.19211835485733,0,60,4.110873864173311,0,1769,1,0,0,2,0.33,0.3333333333333333,245.06,5.505575408632023,0.024956642086149602,45.319644079397676,0,26.206707734428473,0,0,0,945,1997,1,0,0,6,0.0
36581,9818.43,9.19211835485733,0,60,4.110873864173311,0,1769,1,0,0,2,0.33,0.3333333333333333,243.51,5.499256207874054,0.024798791783229777,45.319644079397676,0,26.206707734428473,0,0,0,945,1997,1,0,0,6,0.0
36581,9818.43,9.19211835485733,0,60,4.110873864173311,0,1769,1,0,0,2,0.33,0.3333333333333333,244.72,5.504192676295727,0.02492201685841235,45.319644079397676,0,26.206707734428473,0,0,0,945,1997,1,0,0,6,0.0
36582,21145.0,9.959206041292472,0,60,4.110873864173311,0,1870,0,1,0,2,0.0,0.3333333333333333,226.18,5.425742654803275,0.010696112739998109,45.319644079397676,0,26.206707734428473,0,0,0,1270,1997,1,0,0,6,0.0
36583,13913.43,9.540681710131405,0,90,4.51085950651685,0,1753,0,1,0,12,0.0,0.48,187.9,5.241217774507464,0.013503966745314037,46.97056810403833,0,24.681724845995895,0,0,0,1194,2003,1,0,1,25,0.0
36584,15926.82,9.675822544826335,0,115,4.7535901911063645,1,1795,0,1,0,0,0.0,0.0,440.18,6.089452955436186,0.02763592255562908,46.06707734428473,0,4.503764544832307,0,0,0,1320,1999,0,0,0,1,0.0
36585,16250.0,9.69590972432601,0,100,4.61512051684126,0,1596,0,1,0,1,0.27,0.25,238.46,5.478386388288698,0.014673558550243063,45.19644079397673,0,25.429158110882955,0,0,0,1096,2009,1,0,0,4,0.0
36585,16250.0,9.69590972432601,0,100,4.61512051684126,0,1596,0,1,0,1,0.27,0.25,248.0,5.517452896464707,0.015260599347732447,45.19644079397673,0,25.429158110882955,0,0,0,1096,2009,1,0,0,4,0.0
36585,16250.0,9.69590972432601,0,100,4.61512051684126,0,1596,0,1,0,1,0.27,0.25,249.22,5.522340530889254,0.015335671650975324,45.19644079397673,0,25.429158110882955,0,0,0,1096,2009,1,0,0,4,0.0
36586,26690.01,10.19208208357093,1,90,4.51085950651685,0,1560,1,0,0,1,0.37,0.3333333333333333,297.96,5.700309785177228,0.011163309294028215,45.24024640657084,0,26.940451745379878,0,0,0,1661,2012,0,0,0,3,151.78
36586,26690.01,10.19208208357093,1,90,4.51085950651685,0,1560,1,0,0,1,0.37,0.3333333333333333,300.95,5.71026144075391,0.011275332031271953,45.24024640657084,0,26.940451745379878,0,0,0,1661,2012,0,0,0,3,0.0
